Timestamp,Name,Value
2.92507,"Swerve/Roll",-0.52734375
2.92509,"Swerve/Pitch",-1.8017578125
2.926709,"Swerve/Yaw",0
2.926734,"Swerve/Roll",-0.52734375
2.926754,"Swerve/Pitch",-1.8017578125
2.928242,"Swerve/Yaw",0
2.928266,"Swerve/Roll",-0.52734375
2.928287,"Swerve/Pitch",-1.8017578125
2.929898,"Swerve/Yaw",0
2.929923,"Swerve/Roll",-0.52734375
2.929945,"Swerve/Pitch",-1.8017578125
2.931553,"Swerve/Yaw",0
2.931577,"Swerve/Roll",-0.52734375
2.931597,"Swerve/Pitch",-1.8017578125
2.933156,"Swerve/Yaw",0
2.933187,"Swerve/Roll",-0.52734375
2.933209,"Swerve/Pitch",-1.8017578125
2.93504,"Swerve/Yaw",0
2.935064,"Swerve/Roll",-0.52734375
2.935084,"Swerve/Pitch",-1.8017578125
2.936718,"Swerve/Yaw",0
2.936745,"Swerve/Roll",-0.52734375
2.936765,"Swerve/Pitch",-1.8017578125
2.938657,"Swerve/Yaw",0
2.938682,"Swerve/Roll",-0.52734375
2.938702,"Swerve/Pitch",-1.8017578125
2.940634,"Swerve/Yaw",0
2.940659,"Swerve/Roll",-0.52734375
2.94068,"Swerve/Pitch",-1.8017578125
2.943716,"Swerve/Yaw",0
2.943746,"Swerve/Roll",-0.52734375
2.943767,"Swerve/Pitch",-1.8017578125
2.94561,"Swerve/Yaw",0
2.945637,"Swerve/Roll",-0.52734375
2.945659,"Swerve/Pitch",-1.8017578125
2.948725,"Swerve/Yaw",0
2.948751,"Swerve/Roll",-0.52734375
2.948772,"Swerve/Pitch",-1.8017578125
2.950698,"Swerve/Yaw",0
2.950723,"Swerve/Roll",-0.52734375
2.950745,"Swerve/Pitch",-1.8017578125
2.95252,"Swerve/Yaw",0
2.952545,"Swerve/Roll",-0.52734375
2.952565,"Swerve/Pitch",-1.8017578125
2.954144,"Swerve/Yaw",0
2.954171,"Swerve/Roll",-0.52734375
2.954191,"Swerve/Pitch",-1.8017578125
2.956021,"Swerve/Yaw",0
2.956046,"Swerve/Roll",-0.52734375
2.956067,"Swerve/Pitch",-1.8017578125
2.95771,"Swerve/Yaw",0
2.957736,"Swerve/Roll",-0.52734375
2.957868,"Swerve/Pitch",-1.8017578125
2.960172,"Swerve/Yaw",0
2.960197,"Swerve/Roll",-0.52734375
2.960218,"Swerve/Pitch",-1.8017578125
2.964824,"Swerve/Yaw",-0.00274658203125
2.964852,"Swerve/Roll",-0.52734375
2.964874,"Swerve/Pitch",-1.8017578125
2.966628,"Swerve/Yaw",-0.00274658203125
2.966653,"Swerve/Roll",-0.52734375
2.966673,"Swerve/Pitch",-1.8017578125
2.969952,"Swerve/Yaw",-0.00274658203125
2.969976,"Swerve/Roll",-0.52734375
2.969998,"Swerve/Pitch",-1.8017578125
2.971724,"Swerve/Yaw",-0.00274658203125
2.971748,"Swerve/Roll",-0.52734375
2.971768,"Swerve/Pitch",-1.8017578125
2.973522,"Swerve/Yaw",-0.00274658203125
2.973545,"Swerve/Roll",-0.52734375
2.973566,"Swerve/Pitch",-1.8017578125
2.975317,"Swerve/Yaw",0
2.975348,"Swerve/Roll",-0.52734375
2.975369,"Swerve/Pitch",-1.8017578125
2.976991,"Swerve/Yaw",0
2.977017,"Swerve/Roll",-0.52734375
2.977037,"Swerve/Pitch",-1.8017578125
2.978859,"Swerve/Yaw",0
2.978884,"Swerve/Roll",-0.52734375
2.978904,"Swerve/Pitch",-1.8017578125
2.981291,"Swerve/Yaw",0
2.981317,"Swerve/Roll",-0.52734375
2.981336,"Swerve/Pitch",-1.8017578125
2.982904,"Swerve/Yaw",0
2.982929,"Swerve/Roll",-0.52734375
2.98295,"Swerve/Pitch",-1.8017578125
2.984704,"Swerve/Yaw",0
2.984728,"Swerve/Roll",-0.52734375
2.984748,"Swerve/Pitch",-1.8017578125
2.986544,"Swerve/Yaw",0
2.986574,"Swerve/Roll",-0.52734375
2.986595,"Swerve/Pitch",-1.8017578125
2.988187,"Swerve/Yaw",0
2.988212,"Swerve/Roll",-0.52734375
2.988232,"Swerve/Pitch",-1.8017578125
2.989821,"Swerve/Yaw",0
2.989846,"Swerve/Roll",-0.52734375
2.989866,"Swerve/Pitch",-1.8017578125
2.991462,"Swerve/Yaw",0
2.991485,"Swerve/Roll",-0.52734375
2.991504,"Swerve/Pitch",-1.8017578125
2.993175,"Swerve/Yaw",0
2.9932,"Swerve/Roll",-0.52734375
2.99322,"Swerve/Pitch",-1.8017578125
2.998786,"Swerve/Yaw",0
2.998814,"Swerve/Roll",-0.52734375
2.998837,"Swerve/Pitch",-1.8017578125
3.001114,"Swerve/Yaw",0
3.001142,"Swerve/Roll",-0.52734375
3.001164,"Swerve/Pitch",-1.8017578125
3.004184,"Swerve/Yaw",0
3.00428,"Swerve/Roll",-0.52734375
3.004307,"Swerve/Pitch",-1.8017578125
3.006161,"Swerve/Yaw",0
3.006187,"Swerve/Roll",-0.52734375
3.006207,"Swerve/Pitch",-1.8017578125
3.008003,"Swerve/Yaw",0
3.008028,"Swerve/Roll",-0.52734375
3.008049,"Swerve/Pitch",-1.8017578125
3.009858,"Swerve/Yaw",-0.00274658203125
3.009887,"Swerve/Roll",-0.52734375
3.009907,"Swerve/Pitch",-1.8017578125
3.011565,"Swerve/Yaw",-0.00274658203125
3.011589,"Swerve/Roll",-0.52734375
3.011609,"Swerve/Pitch",-1.8017578125
3.013887,"Swerve/Yaw",-0.00274658203125
3.013914,"Swerve/Roll",-0.52734375
3.013935,"Swerve/Pitch",-1.8017578125
3.015757,"Swerve/Yaw",-0.00274658203125
3.015783,"Swerve/Roll",-0.52734375
3.015804,"Swerve/Pitch",-1.8017578125
3.017726,"Swerve/Yaw",-0.00274658203125
3.017752,"Swerve/Roll",-0.52734375
3.017773,"Swerve/Pitch",-1.8017578125
3.019466,"Swerve/Yaw",-0.00274658203125
3.019496,"Swerve/Roll",-0.52734375
3.019517,"Swerve/Pitch",-1.8017578125
3.023275,"Swerve/Yaw",-0.00274658203125
3.02344,"Swerve/Roll",-0.52734375
3.023465,"Swerve/Pitch",-1.8017578125
3.025733,"Swerve/Yaw",-0.00274658203125
3.025758,"Swerve/Roll",-0.52734375
3.025779,"Swerve/Pitch",-1.8017578125
3.027642,"Swerve/Yaw",-0.00274658203125
3.027666,"Swerve/Roll",-0.52734375
